12139, the
4617, to
4188, a
4097, in
3757, and
3563, of
2821, i
2256, is
2239, that
1948, for
1674, was
1663, on
1627, it
1431, he
1300, you
1267, have
1211, this
1178, but
1142, they
1125, be
1119, game
1051, with
1046, as
1018, at
1009, are
986, not
924, team
863, if
828, will
785, hockey
723, or
718, his
706, from
668, all
666, writes
658, would
652, has
594, play
573, by
573, one
570, can
569, an
564, what
561, who
526, games
521, up
519, when
510, about
506, out
505, article
496, season
494, so
492, think
466, go
464, their
452, like
450, year
445, get
445, just
443, had
439, no
425, first
417, there
416, him
415, players
413, don't
406, been
399, my
393, nhl
389, period
385, time
378, more
376, me
371, know
369, win
367, do
365, good
365, last
360, only
360, were
359, new
359, see
341, some
326, la
324, goal
324, two
318, than
315, player
314, i'm
307, any
303, well
300, now
298, league
298, teams
297, pit
297, vs
295, did
294, we
292, over
291, cup
291, them
289, even
288, after
287, how
286, your
282, other
279, det
276, gm
275, should
263, fans
259, back
257, leafs
255, because
253, best
250, detroit
250, it's
249, then
248, also
248, way
244, bos
243, going
240, next
240, playoffs
237, really
236, pts
236, series
234, boston
234, people
233, wings
231, pittsburgh
230, espn
230, got
230, off
227, chi
227, could
227, much
224, division
224, too
224, tor
221, mike
219, which
215, better
214, most
214, second
212, rangers
210, against
210, into
210, toronto
209, right
206, ice
206, very
205, here
202, great
202, played
202, power
201, didn't
201, points
200, many
199, does
198, goals
197, van
196, make
195, night
194, bruins
193, flyers
193, pens
193, puck
193, since
193, st
192, devils
188, penguins
187, before
181, playoff
181, years
180, montreal
179, buffalo
179, nyi
179, shots
178, blues
178, made
178, pp
177, said
176, nj
176, take
175, say
174, cal
174, may
172, jets
171, those
170, am
169, canada
168, being
168, buf
168, islanders
168, que
168, these
168, why
167, april
166, can't
165, still
163, fan
163, while
162, chicago
162, playing
162, vancouver
160, coach
159, down
159, stl
158, never
157, sharks
157, where
155, point
155, stanley
152, kings
152, same
151, he's
150, roger
150, winnipeg
149, calgary
149, pick
146, john
146, third
145, quebec
145, san
144, little
144, nyr
143, round
142, g
142, shot
141, scoring
139, red
138, ahl
138, give
136, again
135, lemieux
135, put
135, sabres
134, another
134, during
132, bad
132, flames
132, show
132, sure
132, university
131, baseball
131, c
131, line
130, doesn't
130, mon
130, penalty
129, around
129, don
129, draft
129, net
128, anyone
128, end
128, mark
127, louis
126, that's
125, away
124, probably
123, ny
120, d
120, goalie
120, went
119, getting
119, might
118, guy
118, world
117, bob
117, both
117, lot
117, minnesota
117, traded
116, far
116, list
115, every
114, come
114, edmonton
113, caps
113, city
113, contact
113, maynard
113, penalties
113, post
113, record
113, remember
113, watch
112, ever
112, gilmour
112, jose
112, least
112, scored
112, something
111, final
111, fuhr
111, lindros
110, mario
110, min
110, through
109, always
109, coverage
109, each
109, let
109, name
109, oilers
108, i'd
108, news
108, phi
107, three
106, own
106, stars
106, want
105, canucks
105, look
104, between
104, high
103, edm
103, maybe
103, score
103, took
103, us
102, few
102, north
102, top
100, though
100, usa
99, canadian
99, home
99, need
99, please
98, abc
98, big
98, hard
98, hawks
98, lost
98, ottawa
98, patrick
98, won
97, captain
97, left
96, defense
96, long
96, s
96, saves
96, seen
95, i've
95, its
95, scorer
95, someone
95, thought
95, tv
94, andrew.cmu.edu
94, selanne
93, beat
93, gerald
93, mean
93, move
93, philadelphia
93, steve
93, wasn't
92, tie
92, washington
91, came
91, enough
91, jersey
91, joseph
91, sj
90, deal
90, regular
88, gretzky
88, leads
88, start
87, champs
87, gary
87, isn't
87, pretty
87, winning
86, actually
86, call
86, conference
86, thing
85, david
85, pt
85, until
84, bay
84, hartford
84, murray
84, sweden
84, tb
83, lead
83, let's
83, york
82, dave
82, jagr
82, l
82, mtl
82, overtime
82, paul
82, potvin
81, finland
