1,14322, the,,
2,8378, of,,
3,8228, to,,
4,6922, is,,
5,6492, a,,
6,6111, that,,
7,5704, and,,
8,5359, in,,
9,4578, i,,
10,4008, it,,
11,3957, you,,
12,3028, not,,
13,2647, are,,
14,2432, be,,
15,2427, this,,
16,2292, for,,
17,2177, have,,
18,2026, as,,
19,1805, or,,
20,1763, if,,
21,1726, but,,
22,1614, on,,
23,1610, what,,
24,1521, with,,
25,1391, an,,
26,1363, they,,
27,1298, was,,
28,1280, by,,
29,1247, writes,,
30,1243, we,,
31,1234, do,,
32,1219, one,,
33,1187, your,,
34,1184, there,,
35,1162, so,,
36,1156, can,,
37,1155, from,,
38,1114, no,,
39,1096, all,,
40,1083, would,,
41,1070, god,,
42,987, article,,
43,969, about,,
44,968, people,,
45,960, my,,
46,945, he,,
47,922, some,,
48,918, at,,
49,906, which,,
50,872, don't,,
51,857, who,,
52,753, has,,
53,748, think,,
54,739, any,,
55,725, will,,
56,720, me,,
57,694, say,,
58,693, than,,
59,675, how,,
60,669, more,,
61,654, does,,
62,652, just,,
63,636, then,,
64,618, other,,
65,609, when,,
66,605, know,,
67,600, their,,
68,586, like,,
69,563, only,,
70,556, because,,
71,543, his,,
72,537, were,,
73,532, out,,
74,527, them,,
75,500, it's,,
76,494, believe,,
77,493, such,,
78,473, many,,
79,463, been,,
80,461, why,,
81,459, even,,
82,455, see,,
83,455, time,,
84,453, i'm,,
85,443, up,,
86,437, way,,
87,436, religion,,
88,433, well,,
89,426, could,,
90,420, objective,,
91,419, good,,
92,411, said,,
93,409, being,,
94,393, moral,,
95,387, those,,
96,378, something,,
97,378, these,,
98,375, make,,
99,370, us,,
100,369, evidence,,
101,365, should,,
102,357, point,,
103,356, must,,
104,347, fact,,
105,345, now,,
106,344, may,,
107,340, jesus,,
108,340, science,,
109,336, frank,,
110,334, also,,
111,334, here,,
112,328, same,,
113,325, system,,
114,322, morality,,
115,318, true,,
116,317, our,,
117,316, atheists,,
118,316, had,,
119,314, atheism,,
120,314, right,,
121,311, most,,
122,309, things,,
123,306, very,,
124,303, get,,
125,300, much,,
126,297, into,,
127,296, am,,
128,293, argument,,
129,289, mean,,
130,279, still,,
131,277, did,,
132,277, read,,
133,277, really,,
134,274, doesn't,,
135,273, better,,
136,272, bible,,
137,271, example,,
138,270, claim,,
139,268, belief,,
140,264, its,,
141,261, question,,
142,259, him,,
143,258, book,,
144,258, that's,,
145,257, since,,
146,253, thing,,
147,253, truth,,
148,252, world,,
149,251, take,,
150,248, first,,
151,248, reason,,
152,244, christian,,
153,244, someone,,
154,239, life,,
155,239, value,,
156,238, wrong,,
157,237, different,,
158,235, seems,,
159,234, anything,,
160,234, nothing,,
161,233, religious,,
162,231, faith,,
163,231, keith,,
164,229, own,,
165,227, atheist,,
166,226, made,,
167,224, course,,
168,224, islam,,
169,222, agree,,
170,222, can't,,
171,221, over,,
172,220, saying,,
173,220, wrote,,
174,217, again,,
175,217, never,,
176,216, two,,
177,215, might,,
178,214, exist,,
179,213, values,,
180,212, where,,
181,211, rather,,
182,208, after,,
183,207, however,,
184,204, find,,
185,201, bill,,
186,201, cannot,,
187,201, theory,,
188,201, whether,,
189,200, isn't,,
190,199, another,,
191,199, too,,
192,199, want,,
193,198, case,,
194,198, existence,,
195,197, sure,,
196,197, use,,
197,192, real,,
198,191, before,,
199,189, actually,,
200,189, anyone,,
201,189, jon,,
202,189, mathew,,
203,189, others,,
204,189, yes,,
205,188, livesey,,
